url,extraction,lexical,syntactic
https://www.imdb.com/name/nm1675687/bio,Miss Hawaiian Tropic Contest,1,1
https://www.imdb.com/name/nm0560806/bio,Best Actor - The Royal Television Society,0,1
https://www.imdb.com/name/nm0560806/bio,Best Newcomer - The Royal Television Society,0,1
https://www.imdb.com/name/nm0796533/bio,L.A. Weekly Award,0,0
https://www.imdb.com/name/nm0796533/bio,LADCC ,0,1
https://www.imdb.com/name/nm0796533/bio,Ovation Awards,0,1
https://www.imdb.com/name/nm0796533/bio,"Audience Award, Slamdance Film Festival",0,0
